"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1551",-5.63,-8.11,-5.53,-9.61,-9.56,-2.77,-8.06,-8.06,-9.61,-7.96,-7.91,-3.54,-3.45,-1.07,-0.63,-9.81,-8.11,-9.51,-0.39,-2.82,-8.16,-5.39,-5.15,-9.56,-5.34,-4.13,1.12,-0.15,7.28,-7.67,-0.53,3.74,-0.73,-4.13,-3.16,2.62,4.37,-2.96,-4.27,-5.39,-4.27,-2.33,-9.27,-9.32,2.38,0.24,3.59,-1.41,2.96,2.09,-9.22,-4.71,4.51,0.68,-2.77,-4.22,-9.61,-9.61,-7.82,-9.56,-2.43,8.2,8.98,-9.61,2.28,4.32,-9.27,2.96,0.78,-0.63,1.75,-2.67,-9.66,-9.66,-9.66,-0.87,-9.47,-9.47,-1.17,-9.47,-4.17,0.92,-8.74,-6.21,-9.51,-0.49,1.02,0.58,6.02,6.12,6.26,0.78,1.12,1.21,-9.32,-2.82,3.79,-3.74,-2.72,-7.91
"1552",5.05,-5.29,1.17,-9.08,-0.97,-2.52,-7.91,-1.26,0.34,-2.18,5.68,4.08,-1.89,-3.35,-9.47,-3.11,-1.21,-2.62,1.31,-2.82,1.84,0.44,-1.65,-8.83,-7.33,-0.63,5.05,-3.06,5.39,0.78,5.68,5.63,-4.13,-3.4,-2.62,0.39,-7.72,0.05,-0.58,-0.92,-3.64,2.86,-6.65,-8.83,-0.68,4.37,0.73,-1.31,-0.58,6.07,-6.65,-6.07,5,0.24,1.65,-2.48,-1.17,-6.41,4.47,1.36,-2.52,3.16,-5.34,-1.84,1.5,-1.31,-6.65,3.98,2.67,0.19,0.29,0.73,-3.5,-3.5,0.63,-6.84,-8.25,1.17,-8.35,0.49,2.04,-3.11,2.43,0.15,-2.23,-1.99,4.61,2.28,3.45,-3.88,-4.17,-2.18,1.21,0.39,2.38,-3.74,2.04,-4.66,-4.66,-6.17
"1553",1.36,4.37,3.5,-9.08,1.21,-4.81,8.83,-7.28,-9.9,2.18,-4.22,-8.4,1.84,-8.2,7.28,-9.51,-4.47,4.47,-9.61,-6.31,-7.52,7.33,-8.35,-5.97,-8.83,-3.45,-5.92,-1.21,8.16,-9.66,0.34,2.09,-7.33,-5.44,-3.16,-6.21,-6.36,4.71,-9.51,-9.13,-9.66,3.74,-9.81,-6.5,1.02,8.79,-9.71,-4.85,0.39,8.54,-9.85,-9.47,-5.29,-9.56,-9.95,-2.72,3.93,-9.56,0.63,-8.74,-9.42,4.71,1.99,-9.66,-7.04,-7.52,-9.85,-0.49,-2.43,-9.51,-2.14,2.48,-5.49,-0.73,-8.06,-6.55,-8.93,-8.98,-9.42,-9.42,-4.51,3.88,-7.18,0,-5.87,-5.87,-6.89,8.25,8.25,-8.74,-8.74,-8.74,-8.74,1.07,-8.74,-8.74,-9.08,-9.13,-9.9,-9.17
"1554",-6.36,-4.32,-5.73,-5,4.47,2.57,1.75,2.48,-5.34,3.98,-4.56,4.51,4.81,0.34,-0.1,4.37,5.19,4.37,3.83,-4.42,6.36,6.02,-3.98,-0.92,-2.82,2.96,3.59,1.75,4.47,-5.73,2.86,5.24,-6.41,3.3,5.39,5.29,-5.97,0.29,4.03,0.97,0.78,6.6,3.93,4.42,1.26,3.16,-7.18,4.47,-5.73,0.39,-1.84,-3.98,-6.46,-0.24,-6.12,2.86,-5,-5.78,-5.68,-5.78,2.86,-0.87,-6.31,-3.54,2.77,1.26,1.12,-0.15,5.73,-3.74,3.79,3.2,3.79,3.74,3.59,-0.15,-3.2,-0.87,-3.5,-3.93,2.86,0.15,-0.1,-4.37,2.96,-0.78,2.48,-0.53,2.33,-0.34,0.63,1.07,2.48,-0.1,-1.12,1.36,-0.34,3.2,-0.39,-0.68
"1555",1.21,1.36,0.92,-5.68,1.84,-0.39,-3.98,5.58,4.03,-1.07,-1.31,1.65,6.7,3.3,3.64,-6.46,-3.74,-4.03,4.08,2.33,5.97,6.7,-1.41,2.28,0.19,3.54,3.93,0.53,3.5,-0.92,3.79,2.82,-6.65,3.4,-3.5,4.03,-0.83,-6.46,1.6,-6.26,-1.5,4.13,3.74,-6.8,2.09,6.75,5.73,0.05,-8.06,5.44,4.22,3.01,5.73,3.4,3.01,2.38,-5.49,-6.7,1.55,0.63,1.17,-1.07,-3.54,4.66,7.52,3.88,2.09,6.31,5.24,0.87,-7.48,-6.17,-5.83,-5.97,-3.83,-5.73,-5.92,-5.44,-6.7,-6.84,7.91,5,-6.07,-5.49,-5.97,1.75,1.21,6.36,6.26,2.86,6.36,6.6,1.8,2.57,-3.4,5.58,-6.55,7.28,4.22,-0.34
"1556",-2.14,2.82,2.62,1.65,-3.01,2.86,-2.04,-4.13,3.01,-0.63,2.67,2.86,-3.45,6.21,-3.45,2.04,3.16,-6.5,2.52,-1.94,7.28,2.43,2.52,-4.42,1.75,2.77,2.33,-4.42,5,-0.68,-3.54,1.36,-2.04,1.65,3.25,0.68,-2.77,1.31,7.57,2.67,-2.91,0.83,-2.91,-2.57,-3.11,2.04,2.28,-2.91,7.57,5.92,-2.91,-0.29,5.83,2.52,-6.94,3.01,-4.22,-3.5,2.33,-2.77,-2.62,7.72,-2.28,-8.88,6.02,1.99,2.33,1.8,3.2,1.5,2.14,2.14,3.25,-2.86,7.38,0.97,-3.5,-3.5,-3.5,-3.2,-3.2,-3.25,2.18,-3.83,-2.52,-2.48,2.28,-4.42,-1.36,-3.16,2.43,2.52,2.23,1.84,1.65,1.65,-1.7,-2.57,1.46,2.77
"1557",8.3,6.26,7.96,-6.12,-4.27,-4.95,-3.59,2.38,8.93,6.65,2.38,-7.48,5.92,-6.07,4.95,7.72,3.45,4.13,8.2,-0.19,-0.29,9.17,7.43,-0.53,7.86,0,-5.34,8.5,8.79,-1.6,7.33,7.23,9.13,7.91,6.75,8.25,4.37,8.54,-0.83,-2.72,9.03,4.85,2.18,8.88,-0.49,4.9,-2.67,4.32,8.01,-0.19,-6.8,-4.76,6.7,3.69,4.22,6.31,9.13,9.08,1.5,4.95,-5.15,9.13,1.21,9.13,-3.06,5.19,8.79,8.59,-9.27,-6.89,-9.81,-7.33,-5.63,-3.35,-5.44,7.57,-6.21,-6.21,-6.84,-6.55,8.93,-0.05,-7.91,-0.49,-6.55,8.59,0,0,8.98,-2.43,9.13,-7.48,-3.83,7.43,-3.69,8.93,7.04,-9.9,8.69,-9.56
"1558",-1.46,-6.75,-6.36,-6.36,-6.21,-4.76,-4.85,1.6,-6.46,-0.97,-0.1,0.24,1.6,-0.73,-7.62,5.49,-4.37,-2.18,-2.18,-2.48,-3.16,-6.26,-0.29,-6.36,-5.34,0.68,3.45,0.39,1.07,-6.75,-0.15,0.29,-6.8,0.73,3.45,3.06,-6.84,-4.27,0.49,-5.63,-6.46,-0.1,-6.02,-6.75,0.87,0.19,-1.21,-0.15,1.99,2.43,-6.8,-0.53,3.83,0.39,3.54,-0.73,-6.36,-7.52,-6.26,-6.75,1.7,4.17,-4.66,0.78,5.39,2.09,-6.26,3.74,2.82,-0.1,-5.24,-1.41,-0.15,-4.08,0.58,-3.5,1.31,-3.35,-5.05,0.73,-3.83,-3.83,-5.44,-5.44,-3.64,-5.44,-5.44,-2.14,1.7,-4.76,-6.7,-4.27,-3.4,-6.21,-6.21,-7.43,-7.43,-7.09,-5.78,-5.44
"1559",-0.87,-6.84,-0.29,-0.97,5.58,-7.48,-6.99,-7.04,-0.44,-7.04,-1.5,-7.23,6.26,6.46,-7.62,-6.84,-7.33,-8.25,6.26,-7.38,5.29,-5.83,5.78,-0.87,-7.04,-7.33,-6.41,-7.72,-6.75,-1.26,-7.23,6.36,-0.63,-7.18,-0.63,-6.94,-0.63,6.89,5.15,-5.83,-1.17,6.12,-7.04,-0.87,6.46,6.07,-7.77,-2.86,-0.58,6.75,-0.83,-7.04,7.09,-7.62,-7.77,-6.99,-0.78,6.07,-1.17,-0.58,6.6,6.5,-7.72,-0.63,-6.65,6.36,6.41,7.09,-0.73,-6.36,-0.34,-1.02,-0.83,-0.53,-0.97,-0.73,-0.78,-0.63,-0.92,-0.83,-0.63,-0.58,-0.53,-0.53,-1.02,-1.17,-1.02,0.24,-1.55,-1.26,-0.97,7.18,-1.17,-5.97,-0.58,-0.58,-0.34,-0.63,-1.12,-0.87
"1560",6.6,2.77,2.82,6.6,3.16,-1.41,5.58,1.6,6.99,3.45,2.72,0.53,2.57,2.04,-1.89,2.77,-0.34,-3.5,-2.23,2.86,1.99,7.09,1.84,6.6,6.41,2.09,3.74,0.34,1.7,3.16,1.5,-0.83,2.82,0.05,-3.74,3.3,-5.73,5.44,0.24,8.4,2.77,3.45,0.15,6.6,-5.83,5.92,-2.62,2.82,2.82,-5.63,1.89,1.26,1.07,1.5,3.98,2.82,6.6,6.6,1.36,2.77,2.72,-4.71,-3.25,-4.71,7.43,-1.75,6.55,2.82,-3.45,1.65,5.83,5.83,5.39,3.59,3.59,3.59,1.12,3.59,3.06,3.06,3.06,3.06,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.48,2.48,2.18,2.28,1.75,4.56,7.82,7.82,7.82,7.96,7.77
"1561",7.43,-0.92,6.75,-9.42,4.95,6.89,6.26,1.31,-3.83,9.03,1.65,-7.57,-2.48,-6.55,5.29,-7.77,-8.5,-4.76,2.43,-9.32,5.34,-4.03,8.79,-9.85,4.32,3.54,6.41,9.13,6.17,-8.25,7.04,-7.57,-9.76,-9.95,7.82,7.62,1.94,8.35,-0.53,8.64,7.72,6.89,-9.81,-9.81,5.63,5.1,-5.44,8.88,5.78,5.24,-9.66,-7.23,0.44,-3.11,-1.21,4.66,1.41,-6.46,-6.5,7.43,-6.84,-6.41,-8.83,-9.22,8.64,2.82,-1.84,0.87,4.81,4.13,7.33,5.49,-9.27,-9.47,-9.66,4.76,5.34,3.4,-8.5,-9.71,-5.34,5.44,6.31,-7.33,-9.17,-3.69,-9.27,7.14,6.46,-6.31,8.64,7.62,4.13,3.98,9.22,4.13,7.77,3.54,-0.58,1.41
"1562",1.02,-3.93,-1.55,-3.59,-2.82,3.79,2.04,0.78,1.46,-1.31,-1.02,-0.78,0.53,-1.12,-4.61,-2.38,-0.15,1.94,-2.38,-2.52,0,3.5,4.03,2.18,1.5,0.92,1.36,3.88,3.98,-0.78,-0.39,2.33,-1.5,-2.23,1.12,3.88,2.14,1.17,-1.8,2.82,-0.83,0.68,-2.52,-2.96,-2.48,0.78,0.05,2.04,0.34,1.65,-2.23,-3.35,-2.72,3.69,2.23,1.5,1.8,-1.17,-2.43,-2.67,3.2,2.62,-4.13,-0.19,-3.69,-0.05,2.62,-0.39,2.67,-0.05,3.4,3.74,3.45,-3.5,2.57,3.79,-2.72,-2.82,-2.28,-2.38,3.69,3.54,3.35,0.34,4.08,2.67,4.37,4.13,4.56,4.42,4.22,3.45,3.45,0.05,2.18,2.18,2.18,3.4,0.1,-0.05
"1563",-6.8,-6.46,-5.92,-6.8,7.72,-6.21,5.19,6.8,-6.8,7.48,-6.07,-6.21,5.29,-8.35,-7.67,-7.38,-9.51,7.04,-7.86,6.31,5.58,-6.21,-6.46,8.2,-6.94,-8.83,-7.48,-8.83,-7.23,-6.02,-8.83,-7.77,-6.8,-6.21,-7.96,-7.96,-6.8,-4.85,-6.31,5.34,-7.04,-6.21,-6.8,6.8,-7.04,-6.21,-6.75,-8.83,-8.83,-6.07,7.48,-6.31,-7.96,-8.83,-6.02,-8.35,-8.69,-6.5,-5.92,-6.02,-4.61,-7.96,-6.21,-6.8,-8.83,-7.96,-6.8,-7.96,-8.83,-6.94,-6.5,-6.02,6.12,6.84,-5.24,-6.94,7.04,-7.28,-7.72,-6.26,-7.38,5.49,-7.77,-5.58,-7.77,-7.67,-8.2,-8.2,-8.11,6.31,-7.48,-7.48,-6.5,-6.5,-7.48,-7.48,-7.48,-7.48,-4.42,-5.78
"1564",2.72,-9.32,-3.11,-9.13,-5.29,-2.09,-9.51,3.25,-8.3,2.72,3.5,3.2,-5.39,1.75,2.86,2.57,-5.39,2.62,3.64,5.73,2.09,-9.81,2.52,-5.29,4.17,2.82,1.6,0.78,3.79,-5.29,1.55,3.74,-9.51,1.75,4.03,4.22,0.83,4.27,-1.26,4.66,-0.39,-9.61,-6.12,-9.08,0.1,-2.14,3.98,3.3,4.61,2.57,-9.32,4.81,2.62,-2.09,-5.34,5.44,-7.04,-9.85,-2.77,-5.44,1.94,4.95,0.53,1.07,2.57,3.59,-5,2.33,2.96,1.7,-0.34,-9.85,-9.9,-9.9,-9.85,0.73,2.33,4.95,2.57,-9.32,0,-9.95,-8.16,3.25,-9.9,-9.95,2.14,2.14,4.17,0.05,1.5,3.88,0.44,-9.81,1.36,1.31,1.94,0.58,0.78,-8.11
"1565",-2.82,-0.53,-3.06,-4.51,1.21,-1.94,-3.3,-4.47,-1.5,-2.72,-0.15,0.68,-3.01,-3.79,-3.74,-9.32,-0.58,6.89,-7.86,-5.1,0,3.83,-3.3,-9.76,6.65,-0.87,-1.12,-3.3,-7.77,-7.04,0.58,-2.82,-6.94,-3.79,3.83,3.11,-2.82,5.68,0.92,-2.48,-1.26,5.1,-8.01,-1.36,-2.82,-0.78,-1.84,6.17,0.68,5.34,-8.88,-3.3,-0.29,-3.2,4.56,0.73,2.52,-4.76,-1.26,-3.54,-3.93,3.88,-1.12,-6.94,-0.39,1.07,-8.16,-2.57,-7.18,-6.21,6.55,-7.28,-4.51,-7.09,-2.18,-5,-4.27,-7.67,-7.67,-6.55,-0.97,-5.87,-2.57,-0.53,-8.16,-3.2,-0.87,1.8,7.14,-5.58,-0.24,-0.87,1.7,-3.3,-0.63,0.24,2.38,1.46,-7.04,-6.31
"1566",8.64,1.89,-3.11,-4.47,-2.96,-0.97,-0.49,-0.53,0.53,1.8,5.39,2.82,1.36,6.5,1.36,-4.76,-1.55,-3.35,-3.54,-2.96,1.55,0.73,-1.99,-2.23,2.28,2.52,0.49,0.44,2.33,-1.6,1.7,-0.24,3.06,0.78,-0.05,1.07,2.52,2.91,1.55,4.32,-4.47,2.77,1.8,-4.95,2.43,0.24,-0.68,2.91,1.94,1.55,3.4,-2.38,-1.17,2.14,-4.08,1.65,1.31,-5.24,0.53,0.15,1.94,2.23,1.21,3.11,3.69,1.36,-5.05,-1.75,1.31,0.34,1.02,0.39,4.95,-4.9,-4.76,2.23,1.94,2.86,1.26,2.04,5.44,0.1,3.35,5.49,5.87,-6.17,1.6,7.38,2.23,3.16,1.07,-2.72,6.6,-3.4,-2.04,2.14,6.75,-1.7,0.87,3.54
"1567",6.26,1.21,-6.94,-9.85,-0.19,9.03,3.98,-6.31,0.83,7.67,-9.76,6.94,-7.96,7.86,-7.38,-7.72,0.97,-4.56,2.86,-4.71,6.8,6.41,6.26,-6.36,5.05,8.93,8.59,2.48,4.81,6.84,6.02,9.08,-9.61,-2.38,-0.87,7.52,-7.14,6.84,8.79,8.79,-6.26,7.52,-0.92,-9.71,7.04,7.43,7.96,2.67,6.94,6.26,7.38,0,-9.81,-7.43,6.65,5.24,3.25,-8.59,3.3,-6.17,-6.17,8.69,2.91,-9.95,9.27,2.96,4.42,6.94,4.76,5.58,-8.98,1.41,4.71,-7.96,-8.3,7.04,-5.05,1.84,2.57,-8.45,2.23,5.63,5.15,-0.29,6.41,7.04,7.04,2.28,7.86,-9.32,-8.64,-0.1,5.53,6.17,-5.92,7.28,5.87,5.24,-0.53,1.75
"1568",6.5,8.69,-9.37,-8.93,4.47,-3.74,-9.71,9.37,0.44,-0.15,-0.05,5.1,2.43,-4.08,-8.06,8.79,3.93,9.08,9.03,-2.72,7.33,2.52,5.19,-8.83,6.6,-0.44,9.17,7.91,7.23,4.71,-9.9,4.95,-8.98,5.68,9.08,-8.88,-9.76,3.4,-0.63,2.52,-8.79,9.27,3.59,1.17,3.06,-3.69,-6.75,9.03,-2.86,8.93,-8.93,4.76,7.52,-0.39,4.95,-1.31,4.32,-9.95,4.27,1.07,-9.81,-2.14,-1.5,3.5,9.32,3.88,-4.76,-0.63,6.02,4.42,-9.51,0.15,-5.58,3.2,0.53,4.08,6.8,3.16,-9.71,7.77,5.92,3.98,7.91,-7.91,6.84,-8.93,4.42,-0.53,8.93,0.15,4.9,-1.5,-0.78,0.44,8.93,1.8,-7.52,7.18,-0.29,-9.03
"1569",0,7.62,-0.19,-0.05,5.83,6.46,5.44,-3.11,-0.19,8.3,-0.39,6.5,6.17,1.55,-4.22,2.33,-3.06,3.88,0.63,-0.1,7.91,5.68,2.09,2.04,6.36,6.94,4.27,2.48,7.28,5.34,4.85,5.97,-0.19,7.43,3.16,5.68,0.83,1.84,0.05,4.66,0.63,4.85,2.52,3.35,2.67,-0.73,7.04,-5.78,6.17,6.5,3.35,6.55,6.17,7.52,7.14,7.82,-0.34,-0.63,-0.92,6.31,5.15,5.68,1.12,4.81,4.76,4.08,1.17,5,-1.26,0.39,-0.24,3.06,6.17,3.83,3.79,6.7,5.1,7.77,5.19,-0.44,6.75,0,4.76,3.11,-0.1,4.76,-0.49,5.29,-0.58,0.34,5.39,1.36,0.92,2.91,-6.36,5.29,2.09,2.77,0.24,2.28
"1570",-7.96,-6.02,6.17,-7.62,-6.5,-6.46,7.52,6.36,-6.89,5.29,5.63,5.68,-6.99,5.58,-6.65,-6.84,-6.8,-7.18,7.23,7.77,5.92,-7.67,-6.55,-8.54,7.09,6.02,7.33,-6.89,-6.84,5.58,-7.57,6.17,-6.8,6.02,8.16,-5.34,-7.14,6.55,-6.89,6.07,-6.41,5.83,5.83,-7.62,6.02,-6.99,-6.6,6.75,-6.5,6.31,-6.41,7.57,6.55,-6.21,-6.36,5.53,-6.7,6.5,-7.33,-6.46,-6.94,6.5,7.67,-5.92,5.83,5.34,6.55,6.5,5.39,5.73,6.02,-7.57,6.17,-8.01,-7.09,6.17,7.04,5.97,-6.07,-6.84,-6.75,-7.18,6.07,-6.55,6.41,6.6,5.24,6.02,-6.7,-7.09,6.5,7.04,-6.65,5.29,-6.07,6.21,-7.96,5.97,6.07,-8.59
"1571",-0.87,2.67,3.06,-0.53,-6.26,1.7,-6.55,-7.86,-1.02,-5.29,-1.17,1.8,-0.58,1.46,-0.83,-6.41,3.98,-7.04,1.7,-7.14,4.61,0.97,-1.6,-5.49,1.99,0.29,3.64,3.93,-5.87,-3.3,0.1,-6.21,-3.79,-2.23,1.17,3.74,-1.02,-3.98,2.91,0.97,-2.09,1.6,-9.08,-4.66,-3.83,3.69,-0.29,-0.73,-4.85,8.2,0.05,-3.11,2.86,-5.1,-9.03,5.24,-6.55,-6.6,3.25,-1.84,1.99,2.04,-3.5,-3.11,1.94,3.98,3.11,4.61,4.51,2.96,5.97,-4.22,3.88,-4.13,-4.47,0.44,-0.68,3.83,-4.17,5.78,-5.05,-6.65,4.42,-5.73,-6.26,-5.15,-5.83,2.62,-5.83,-6.21,-6.26,-6.07,-6.26,-6.5,-6.55,-6.89,-5.63,-6.36,-6.41,-5.73
"1572",4.71,-0.53,4.08,4.9,-3.59,5.73,5.44,4.03,4.9,6.02,5.53,5.78,5.58,5.78,-4.22,4.81,1.36,2.67,7.48,5.24,7.23,5.87,5.73,6.26,5.78,5.97,6.65,6.65,6.46,2.67,-1.8,5.92,0.1,-2.23,7.04,6.02,4.9,6.02,3.59,6.02,5.97,6.21,6.21,4.71,5.49,5.83,0.83,7.09,6.12,6.7,6.31,7.77,6.89,7.14,7.28,4.9,6.26,-1.26,7.77,6.31,-4.95,7.04,5.49,6.17,4.56,4.51,6.17,6.65,6.31,6.5,4.51,4.51,4.51,4.51,4.51,4.27,0.83,5.83,3.88,5.73,6.94,5.05,4.95,4.95,4.61,1.8,4.9,5.05,5.73,5.15,5.39,5.78,3.98,4.95,3.88,5.39,5.39,5.34,5.58,6.5
"1573",-0.05,-3.16,-0.97,-0.97,-4.61,3.74,2.28,-0.63,-1.99,-1.5,-0.34,0.97,-0.68,3.88,-0.68,4.61,-0.63,-2.82,-2.09,2.82,-0.63,-0.78,-0.92,3.3,2.09,0.34,-3.4,4.37,-2.72,-0.78,2.33,2.38,-0.78,-3.88,-1.41,3.93,-2.77,-2.04,1.21,2.33,-0.97,-1.99,-2.86,-3.5,3.45,-1.55,6.7,1.75,-0.44,6.12,-3.16,1.7,4.08,2.43,2.91,4.08,-0.78,-3.16,-1.31,-1.6,3.74,4.27,-1.55,-2.86,-2.96,-3.59,1.8,-0.63,2.62,2.14,1.75,4.17,-3.79,-4.22,-1.12,7.96,-2.52,0.29,8.16,-0.49,-4.76,1.55,6.6,-2.57,-5.24,-3.3,3.59,-0.78,8.16,-0.83,1.17,3.88,2.72,-0.87,-0.87,0.83,7.14,-3.79,-2.38,-0.29
"1574",-0.83,-0.19,-2.23,-0.92,7.09,-0.97,-5,-4.85,3.2,5,3.83,2.28,-0.1,2.23,-3.45,3.4,7.57,4.81,0.39,2.82,7.82,5,0.87,6.36,3.11,4.03,1.12,5.53,-3.98,3.83,0.87,5.24,1.94,2.09,5.1,8.45,3.2,-1.99,5.19,4.37,0.87,4.81,1.55,3.2,5.19,4.95,8.45,-8.06,7.04,1.07,0.05,1.6,2.48,4.37,2.23,5.83,3.2,-2.23,-0.24,1.6,3.35,6.94,-5.44,3.2,4.27,4.71,1.55,3.79,5.58,0.87,-0.87,-0.87,-0.87,-0.87,-0.87,-0.87,-0.92,-0.92,-3.45,-3.45,-3.45,2.91,3.83,-3.3,3.5,2.91,2.91,2.91,2.91,-7.62,0.29,-1.46,2.23,3.83,-3.01,-3.01,-3.16,-1.46,-7.62,3.98
"1575",-8.11,-3.45,-4.71,0.58,5.63,5.39,-3.88,3.45,5.39,5.34,-3.25,7.72,3.45,2.91,2.43,2.43,-0.63,7.33,7.28,-3.88,5.24,5.92,4.13,2.28,1.8,-0.29,3.35,6.46,5.73,2.48,5.19,3.79,-6.8,1.94,5,5.19,-0.92,4.08,1.55,4.27,4.13,5.29,6.12,-4.71,4.71,-0.1,-2.52,1.99,6.84,6.31,3.25,-0.53,-6.84,7.72,5,3.93,6.36,-8.16,0.58,-6.07,4.56,8.64,3.25,2.86,2.28,2.33,2.09,1.26,3.83,6.99,7.57,4.56,6.31,4.27,-4.17,8.64,6.84,8.98,4.22,1.21,6.6,6.5,3.16,5.78,5.78,5.97,6.26,8.5,5.92,6.5,6.99,5,4.95,6.84,7.23,6.31,7.72,0.24,3.79,5.24
"1576",5.53,2.18,-0.49,-5.19,-2.23,-0.44,-5.24,3.54,3.98,0.19,-2.82,-0.24,5.29,-3.3,-3.01,-4.27,0.39,-2.91,0.53,-1.6,1.75,1.65,-0.44,3.79,2.82,0.34,0.1,-0.49,5.53,-0.58,-0.49,5.49,-3.3,1.7,3.4,1.89,-0.58,2.38,-0.78,-0.68,2.28,2.57,-4.81,-0.53,-0.49,0.44,3.2,-7.62,3.16,4.13,-3.2,-4.47,4.32,-0.1,-3.4,0.73,-7.43,-7.62,-0.68,-2.77,2.77,2.52,-0.24,-0.44,0.49,4.76,-3.5,1.21,4.22,-2.67,-5.19,-0.97,-0.34,-0.29,-5.83,-1.46,-7.43,-6.46,-3.93,0.87,-3.11,-4.51,-7.33,-2.96,-0.34,-0.73,0.63,1.7,-4.13,-8.93,-4.71,-2.28,0.49,-1.17,-0.58,-0.44,-0.53,3.54,-0.24,-0.39
"1577",6.02,4.37,3.45,1.84,0.19,4.9,5.87,-2.72,4.95,0.1,4.66,6.8,2.09,-0.49,0.34,5.73,-0.39,6.26,5.78,4.71,3.3,4.37,-2.67,-5.1,-2.72,3.35,-3.79,7.52,3.11,-4.17,-3.79,7.09,5.1,-9.56,6.12,6.36,-1.46,3.79,1.7,-5.39,3.11,2.52,-4.85,4.66,-1.7,0.1,9.08,6.89,3.59,6.46,-5.97,-3.35,6.99,5.29,6.36,6.6,-1.99,-9.42,-1.12,-6.99,7.43,6.55,-4.56,-4.37,6.8,7.28,-0.87,7.38,3.35,-6.02,-9.42,4.08,0.1,-4.95,-0.29,3.35,1.94,3.11,-5.1,-7.33,-5.87,-1.17,5.34,0.19,-8.59,-5,-3.25,-4.51,2.23,-0.34,5,-1.31,5.73,1.17,2.23,3.16,6.65,-1.46,-4.81,-7.23
"1578",3.59,-3.45,2.77,2.82,-6.46,0.49,-4.56,-6.36,-4.22,2.14,3.59,-3.69,-5.97,-2.96,-6.02,-1.7,-1.07,-2.04,-2.96,-6.26,1.99,2.38,3.5,4.03,2.09,-3.74,-1.89,-3.06,0.53,2.14,1.6,-3.3,3.79,-3.98,-3.59,-3.11,-3.3,-0.97,2.23,2.96,2.43,-0.73,-0.49,3.16,1.65,3.83,-3.16,-3.54,2.04,1.46,3.3,3.06,1.21,2.43,0.39,2.43,4.08,2.86,0.29,3.69,2.52,-3.2,-2.23,4.22,-4.03,2.09,2.57,-2.96,1.7,3.5,-6.02,-5.24,5.58,4.13,6.46,-6.36,3.98,7.23,3.83,-4.47,-6.31,3.3,-5.92,3.64,4.32,-5.92,-5.29,-4.76,-4.37,3.93,-7.18,-5.73,1.6,-5.1,-6.94,-9.17,-3.79,-3.4,3.98,2.82
"1579",-3.25,-2.09,-3.2,0.15,-2.33,0.19,-2.43,-4.47,-3.16,1.84,-3.25,0.19,-1.55,-3.45,-5.83,-7.23,-3.88,2.38,-5.73,-5.15,-0.87,-1.02,-3.98,-1.07,1.65,2.28,2.62,-2.43,5.29,-3.06,3.93,3.45,-6.02,6.75,8.59,2.67,-3.74,0.49,-0.63,-1.36,-3.45,5.58,-6.46,-3.93,0.1,6.41,-1.99,-0.44,2.91,5.39,-2.14,-2.14,8.06,-3.3,1.07,8.25,-3.54,-5.44,-4.51,-3.93,3.35,7.86,-2.48,-3.83,5.05,1.02,-3.79,0.63,6.17,-1.41,-8.01,4.22,0.39,-4.81,-8.5,0.44,-1.99,-2.38,-5.19,4.85,4.66,-8.88,-0.24,-1.46,-1.41,-1.46,-2.04,-1.99,2.67,-4.51,1.36,-3.25,2.52,-7.48,-1.12,-3.3,-5.53,-1.7,-3.69,-3.88
"1580",-3.88,-4.22,1.75,3.59,-0.68,2.33,-5.97,-1.26,-4.66,0,-0.78,-4.17,-7.67,2.38,-6.55,2.09,2.23,-3.01,-4.08,-2.91,4.08,1.89,0.1,1.26,-3.74,1.94,2.91,-6.8,3.98,-0.53,0.97,3.06,-4.9,2.43,-6.41,1.41,2.38,-3.35,1.75,-4.03,-3.11,-4.76,1.55,2.82,1.7,-1.55,-3.59,1.8,-4.85,2.67,3.74,-2.04,2.77,3.01,1.65,2.91,3.35,-1.6,-2.57,-4.37,-0.24,-1.8,-2.86,-4.76,-0.39,-0.29,-3.01,-1.02,1.94,-2.18,-7.96,2.72,-2.62,1.84,2.52,3.2,-8.98,6.36,-6.84,4.13,-2.72,3.88,-0.1,-0.53,3.5,3.54,5.49,2.82,-5.24,-0.68,-8.88,4.51,3.83,2.33,3.3,2.86,-2.33,6.75,-4.9,6.02
